Entity,Code,Year,GDP per capita
Malta,MLT,2018,32028.91211
Mauritania,MRT,2018,3457.514893
Mauritius,MUS,2018,20138.57227
Mexico,MEX,2018,16494.07813
Middle East,,2018,18429.74023
Moldova,MDA,2018,6746.728516
Mongolia,MNG,2018,13382.54199
Montenegro,MNE,2018,19504.1582
Morocco,MAR,2018,8451.135742
Mozambique,MOZ,2018,1132.770874
Myanmar,MMR,2018,5838.217285
Namibia,NAM,2018,9043.120117
Nepal,NPL,2018,2727.423828
Netherlands,NLD,2018,47474.10938
New Zealand,NZL,2018,35336.13672
Nicaragua,NIC,2018,4952.477051
Niger,NER,2018,964.6600952
Nigeria,NGA,2018,5237.662109
North Korea,PRK,2018,1596.351685
North Macedonia,MKD,2018,13074.23145
Norway,NOR,2018,84580.13281
Oman,OMN,2018,36477.63672
Pakistan,PAK,2018,5510.396484
Palestine,PSE,2018,5207.756836
Panama,PAN,2018,22637.14844
Paraguay,PRY,2018,9338.948242
Peru,PER,2018,12310.08496
Philippines,PHL,2018,8139.139648
Poland,POL,2018,27455.23633
Portugal,PRT,2018,27035.59961
Puerto Rico,PRI,2018,35076.29297
Qatar,QAT,2018,153764.1719
Romania,ROU,2018,20126.29297
Russia,RUS,2018,24668.9082
Rwanda,RWA,2018,1929.285156
Saint Lucia,LCA,2018,10475.36914
Sao Tome and Principe,STP,2018,3730.20459
Saudi Arabia,SAU,2018,50304.75
Senegal,SEN,2018,2617.124512
Serbia,SRB,2018,14124.11816
Seychelles,SYC,2018,29531.06055
Sierra Leone,SLE,2018,1683.849731
Singapore,SGP,2018,68402.34375
Slovakia,SVK,2018,27075.53516
Slovenia,SVN,2018,29244.91992
South Africa,ZAF,2018,12165.79492
South Korea,KOR,2018,37927.60938
South and South-East Asia,,2018,7648.664063
Spain,ESP,2018,31496.51953
Sri Lanka,LKA,2018,11662.90625
Sub-Sahara Africa,,2018,3532.373291
Sweden,SWE,2018,45541.89063
Switzerland,CHE,2018,61372.73047
Syria,SYR,2018,3349.459717
Taiwan,TWN,2018,44663.86328
Tajikistan,TJK,2018,4440.381836
Tanzania,TZA,2018,2874.962891
Thailand,THA,2018,16648.62305
Togo,TGO,2018,1451.36084
Trinidad and Tobago,TTO,2018,28549.4082
Tunisia,TUN,2018,11353.88672
Turkey,TUR,2018,19270.2207
Turkmenistan,TKM,2018,26318.36523
USSR,OWID_USS,2018,19539.14648
Uganda,UGA,2018,2045.420288
Ukraine,UKR,2018,9813.363281
United Arab Emirates,ARE,2018,76397.82031
United Kingdom,GBR,2018,38058.08594
United States,USA,2018,55334.73828
Uruguay,URY,2018,20185.83594
Uzbekistan,UZB,2018,11220.37012
Venezuela,VEN,2018,10709.9502
Vietnam,VNM,2018,6814.14209
Western Europe,,2018,39789.89844
Western Offshoots,,2018,53756.49609
World,OWID_WRL,2018,15212.41504
Yemen,YEM,2018,2284.889893
Yugoslavia,OWID_YGS,2018,16558.3125
Zambia,ZMB,2018,3534.033691
Zimbabwe,ZWE,2018,1611.405151
